Id,OrgId,LastName,FirstName,MiddleName,BirthDate,PassSerial,PassNum,Info
77,5,,,,03/07/2021 00:00:00,45 86,770701001,
78,5,Артемова,Светлана,Викторовна,03/07/2021 00:00:00,45 86,770701001,Ответственный человек
79,5,Асанов,Рамиль,Сягитович,03/07/2021 00:00:00,45 86,770701001,Обещал перезвонить в пятницу
80,5,Борисенко,Вячеслав,Владимирович,03/07/2021 00:00:00,45 86,770701001,В командировке
81,5,Бакунцева,Елена,Евгеньевна,03/07/2021 00:00:00,45 86,770701001,Юрист компании
82,5,Богданова,Елена,Николаевна,03/07/2021 00:00:00,45 86,770701001,"Секретарь 76623979 "
83,5,Воронцова,Ольга,Сергеевна,03/07/2021 00:00:00,45 86,770701001,Менеджер по продажам
84,5,Кряталов,Николай,Николаевич,03/07/2021 00:00:00,45 86,770701001,Зам директора
85,5,Кашина,Ольга,Николаевна,03/07/2021 00:00:00,45 86,770701001,Высшее образование- технолог пищевого производства;
86,5,Козлов,Альберт,Николаевич,03/07/2021 00:00:00,45 86,,Знание стандартов HACCP;
87,5,Макарова,Галина,Анатольевна,,45 86,770701001,Контроль за выходом продукции и ее качеством;
88,5,Ткачук,Лариса,,03/07/2021 00:00:00,45 86,770701001,Разработка рецептур и технологии новой продукции
89,5,Чередник,Фаина,Викторовна,03/07/2021 00:00:00,45 86,770701001,Разработка чертежей по индивидуальным проектам
90,5,Малай,Олег,Олегович,03/07/2021 00:00:00,45 86,770701001,техническое сопровождение мебели до ее изготовления и монтажа
91,5,Шелухина,Екатерина,Александровна,03/07/2021 00:00:00,45 86,770701001,Начальник производственно-диспетчерского отдела
92,5,Васильева,Елена,Дмитриевна,03/07/2021 00:00:00,45 86,770701001,Формирование и контроль номенклатурного плана производственным подразделениям в соответствии с портфелем заказов и имеющихся производственных мощностей;
93,5,Моисеенко,Екатерина,Геннадьевна,03/07/2021 00:00:00,45 86,770701001,Умение работать со спецификацией и МРВ (маршрутно - расцеховочная ведомость) на изделие.
94,5,Реброва,Татьяна,Петровна,03/07/2021 00:00:00,45 86,770701001,Изготовление мебели и интерьера по индивидуальным заказам.
95,5,Ермакова,Марина,Александровна,03/07/2021 00:00:00,45 86,770701001,Инженер технологической поддержки (Consultant Engineers)
